vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z
1.10862,-0.390299,0.31882,0.922581,-0.420311,0.110681,0.387664,0.378641,1.3321,-0.155087,0.18939,0.932862,-0.186039,-0.0300125,-0.208139
1.10786,-0.343555,0.275868,0.92259,-0.420319,0.110689,0.358854,0.382042,1.35309,-0.112378,0.166719,0.938956,-0.18527,-0.0767639,-0.165179
1.10786,-0.343555,0.275868,0.923096,-0.42009,0.111166,0.240669,0.348527,1.41401,-0.0266903,0.122976,1.14633,-0.184765,-0.0765347,-0.164702
1.10786,-0.343555,0.275868,0.922664,-0.420311,0.11072,0.00386932,0.330216,1.46402,0.00778618,0.138595,1.56108,-0.185197,-0.0767562,-0.165148
1.10786,-0.343555,0.275868,0.922863,-0.420647,0.110975,-0.213997,0.392685,1.46858,-0.000148259,0.171166,1.87267,-0.184998,-0.0770919,-0.164893
1.10786,-0.343555,0.275868,0.922549,-0.420418,0.110576,-0.398948,0.498646,1.43362,-0.0498573,0.0466988,1.65697,-0.185312,-0.0768633,-0.165292
1.10786,-0.343555,0.275868,0.922261,-0.420743,0.110723,-0.44419,0.539325,1.39493,-0.0222493,0.142391,1.32381,-0.185599,-0.0771882,-0.165146
0.657121,-0.612498,0.13085,0.922213,-0.420123,0.11031,-0.468951,0.537037,1.38132,0.0104186,0.0323698,1.05595,0.265092,0.192375,-0.0205402
0.82131,-0.60012,0.225188,0.92261,-0.420243,0.11048,-0.502849,0.541524,1.37985,0.0222058,0.0210969,0.926385,0.1013,0.179877,-0.114708
0.82131,-0.60012,0.225188,0.922535,-0.420267,0.110448,-0.520775,0.544655,1.3791,0.0385683,0.0157891,0.880514,0.101225,0.179853,-0.11474
-0.377972,-3.26589,0.590378,0.922503,-0.4203,0.110421,-0.524305,0.542354,1.38267,0.028497,-0.00354685,0.865134,1.30048,2.84559,-0.479956
0.920664,-0.450434,0.283435,0.922128,-0.420531,0.11045,-0.522612,0.537442,1.3809,0.042188,0.00437808,0.87918,0.00146317,0.0299027,-0.172985
-0.335402,-3.24187,0.619823,0.922457,-0.420325,0.110383,-0.52307,0.539398,1.38151,0.041892,0.00126097,0.877579,1.25786,2.82155,-0.50944
0.855548,-0.456078,0.302141,0.922987,-0.427244,0.110993,-0.522253,0.541137,1.37909,0.0408803,0.0166386,0.864417,0.0674385,0.028834,-0.191148
0.883507,-0.438772,0.255216,0.922738,-0.426989,0.111056,-0.522619,0.542167,1.37918,0.0383822,0.016971,0.86158,0.0392312,0.0117836,-0.14416
-0.296768,-3.23484,0.574307,0.923045,-0.426752,0.11135,-0.521827,0.54236,1.37912,0.0344455,0.0122805,0.860213,1.21981,2.80809,-0.462957
0.870454,-0.412983,0.280764,0.921975,-0.422136,0.109795,-0.52238,0.542001,1.37932,0.038434,0.0142213,0.863346,0.0515214,-0.00915298,-0.170969
0.870454,-0.412983,0.280764,0.922624,-0.421842,0.110844,-0.522412,0.542039,1.37911,0.0386531,0.0161605,0.860962,0.0521696,-0.0088594,-0.16992
0.870454,-0.412983,0.280764,0.922153,-0.42227,0.110473,-0.522451,0.542025,1.37911,0.0387194,0.0161545,0.86092,0.0516988,-0.00928703,-0.170291
-0.293507,-3.24435,0.575653,0.922068,-0.422137,0.110441,-0.522466,0.542012,1.37912,0.0386696,0.0162605,0.860885,1.21558,2.82222,-0.465211
-0.297115,-3.2343,0.585695,0.922258,-0.421621,0.110968,-0.522431,0.542014,1.3791,0.0384407,0.0162154,0.860972,1.21937,2.81268,-0.474727
-0.294678,-3.21638,0.580554,0.922232,-0.422373,0.110435,-0.522459,0.542053,1.37912,0.0386049,0.016039,0.8609,1.21691,2.794,-0.470119
0.884038,-0.432814,0.247342,0.922233,-0.422367,0.110435,-0.52252,0.542167,1.37915,0.0386026,0.0167823,0.861579,0.038195,0.0104467,-0.136907
-0.294261,-3.22902,0.583727
